guid,text_a,text_b,theme1,theme2,theme3
42350,5 USA Blockade im US-Senat: Kein strengeres Waffenrecht in Sicht Keine Bewegung im Streit um eine Verschärfung des US-Waffenrechts: Nach dem Terrorattentat in Orlando sind mehrere Entwürfe für eine strengere Regelung im Senat gescheitert. Ein Grund für die Blockade ist der Präsidentschaftswahlkampf.,a,3,2,
16228,INTERNATIONAL/254: Schüler protestieren vor über 3.000 Schulen gegen Waffengewalt in den USA (Pressenza),a,7,,
23665,Nach Amoklauf in Florida: Amerikanische CEOs fordern schärfere Waffengesetze - News Deutschland,a,9,2,
10950,Hunderttausende marschieren gegen Waffengewalt in den USA | inSüdthüringen.de,a,7,,
21324,"Aachener Nachrichten: Obamas WindmühlenDie USA werden ihr Waffenrecht niemals antasten Von Christina Merkelbach Feb 15, 2018",a,3,1,
16400,Aktuell Panorama Massenprotest in USA gegen Waffengewalt: »Genug ist genug«,a,7,,
11339,USA: Florida kommt Verschärfung des Waffenrechts näher,a,2,,
17138,Historischer Protest gegen Waffengewalt Washington Ein jahrzehntelang geführter Streit erreicht in den USA einen neuen Höhepunkt: Nach den Todesschüssen von Parkland formiert sich eine…,a,7,,
10189,Trump rückt von Forderung nach schärferem Waffenrecht ab | Frankenpost,a,3,2,
24532,"Nach Tragödie in Parkland, Florida: Donald und Melania Trump besuchen Opfer des Amoklaufs",a,3,,
40397,3 USA Blockade im US-Senat: Kein strengeres Waffenrecht in Sicht,a,3,2,
309,Waffengesetz in den USA: Bump Stocks werden verboten | tagesschau.de,a,2,,
16759,Nach Amoklauf in Parkland: Schulen in den USA verbieten Protest - News Deutschland,a,7,,
12272,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» | Neue Presse Coburg,a,7,,
21773,"Texas konnte ganz legal Waffen kaufen, obwohl er vorbestraft war. Das hat mit Versäumnissen zu tun. Präsident Trump erteilt einer Verschärfung des Waffenrechts aber eine Absage - und liegt damit ganz auf der Linie",a,3,2,
40934,Waffengewalt in den USA Obama kämpft gegen Windmühlen,a,3,,
9374,Genug ist genug - Massenprotest in den USA gegen Waffengewalt - Panorama - HARZ KURIER,a,7,,
17550,Peinlicher Fehler Trump verwechselt Amoklauf-Tatorte,a,3,,
16084,Hunderttausende protestieren in den USA gegen Waffengewalt - Panorama - Braunschweiger Zeitung,a,7,,
12186,Nach Amoklauf in Florida: Großmaul Trump inszeniert sich als furchtloser Verbrechensbekämpfer,a,3,,
13938,Emotionaler Protest gegen Waffengewalt in den USA - News-Ticker - Pforzheimer Zeitung,a,7,,
12330,NEWSTIME Massenprotest gegen Waffengewalt bewegt USA,a,7,8,
3402,NEWS Erneut Amoklauf in den USA Texas: 10 Tote bei Schüssen an Schule,a,5,,
14396,"Demonstration für schärfere Waffengesetze in den USA - Protest gegen ""ein Klima der Angst und Bedrohung""",a,7,2,
14598,"Demonstrationen „Erst der Anfang' - Massenprotest gegen Waffengewalt in USA Hunderttausende Menschen protestieren in den USA ihrem Protest gegen Waffengewalt. Weltweit gibt es Solidarität, auch in Deutschland.  mehr",a,7,,
22557,Nach Blutbad in Texas: Trump hï¿½lt am Waffenrecht fest B.Z. Berlin,a,3,1,
13633,Nach Schulmassaker: Massenprotest gegen Waffengewalt in USA,a,7,,
13654,USA-Waffenrecht: Schärfere Gesetze eher unrealistisch,a,2,,
12856,Nach Highschool-Amoklauf Trump ändert doch nichts an Waffengesetzen,a,3,1,
14923,Massenprotest gegen Waffengewalt bewegt USA - News-Ticker - Pforzheimer Zeitung,a,7,8,
14483,"Schulstreiks an US-High-Schools: Protest gegen Waffengewalt An vielen High Schools in den USA haben Schülerinnern und Schüler einen ganztägigen Streik begonnen, um gegen Waffengewalt ...",a,7,,
11326,Nach Amoklauf in Florida: Trump offen für bessere Überprüfung ...,a,7,2,
16965,Demonstrationen Kriminalität Schulen Waffen USA International: Massenprotest gegen Waffengewalt in den USA,a,7,5,
4508,Immer wieder kommen in den USA Menschen durch Waffengewalt ums Leben. Allein im vergangenen Jahr waren es 15.000. Mit einer Twitter-Aktion haben sich nun zahlreiche Ärzte gegen den Gebrauch von Schusswaffen und,a,7,,
15097,Amoklauf in Florida Amerikas Jugend begehrt auf,a,7,,
24860,Trump will Waffenrecht nicht einschränken,a,3,2,
8241,Trump beugt sich nach Parkland-Amoklauf der Waffenlobby,a,3,,
11577,"Demonstrationen - Massenprotest in USA gegen Waffengewalt: ""Genug ist genug""",a,7,,
23364,Foto: Reuters/Drake 2 Postings USA Todessch&#252;tze von Parkland gestand Mord an 17 Menschen Nach dem Massaker in Florida flammt die Diskussion &#252;ber Waffengesetze in den USA erneut auf,a,1,7,
39916,Waffenrecht in den USA: Nur etwas Lippenstift - ...,a,1,,
2161,Amoklauf in den USA: Die Stimmen der Generation Parkland werden noch zu hören sein | ZEIT ONLINE,a,7,,
18921,Kennt ihr vernünftige pro und contra Argumente für/gegen das Waffengesetz in der USA?,a,1,2,
17057,USA: Hunderttausende demonstrieren für schärferes Waffenrecht,a,7,2,
22790,Donald Trump: Bluttat hat nichts mit Waffenrecht zu tun,a,3,1,
16351,"Diskussion über Waffengesetze in den USA, Emma Gonzalez als Ikone einer neuen 68er-Bewegung?",a,8,7,
7945,«Genug ist genug» – Massenprotest in den USA gegen Waffengewalt - Emder Zeitung,a,7,,
14489,Nach Amoklauf in den USA: Schüler demonstrieren für schärfere Waffengesetze,a,7,2,
14115,"Schulstreiks an US-High-Schools: Protest gegen Waffengewalt Washington (dpa) - An vielen High Schools in den USA haben Schülerinnern und Schüler einen ganztägigen Streik begonnen, um gegen...",a,7,,
9879,Nach Amoklauf in den USA Schüler demonstrieren für schärfere Waffengesetze,a,7,2,
14970,"Frage an, ob die Waffengesetze strikter gefasst werden sollen. Allerdings sind bisher seitens der republikanisch geführten Bundesregierung nur kleine Schritte in der Debatte. So will Trump notfalls eigenmächtig",a,2,3,
22795,Trump schickt Beileidsbekundung nach Massenschießerei an die falsche Stadt,a,3,,
19468,Trotz Vegas-Massaker: USA  beschliessen Lockerung von Waffenrecht,a,1,,
24037,Tochter starb bei Highschool-Amoklauf &#034;Tun Sie etwas&#034; - Mutter von getöteter Schülerin richtet verzweifelten Appell an Donald Trump,a,3,,
18306,Trump: US-Waffengesetze nicht Schuld an Texas-Massaker,a,3,1,
12790,News Massenproteste gegen Waffengewalt Die überlebenden Schüler des Massakers in Parkland geben keine Ruhe. Am Samstag schließen sich Hunderttausende Menschen in den USA ihrem Protest gegen Waffengewalt an.,a,7,,
14580,"Parkland-Massaker: Melania Trump unterstützt Schüler, die schärfere Waffengesetze fordern Parkland-Massaker: Melania Trump unterstützt Schüler, die schärfere Waffengesetze fordern",a,3,2,
14919,Demonstrationen Kriminalität Schulen Waffen USA: Massenprotest in den USA gegen Waffengewalt,a,7,5,
11705,Protest in den USA: Schüler streiken für schärfere Waffengesetze,a,7,2,
42866,image Vier Entwürfe abgewiesen :  Blockadehaltung zu schärferen Waffengesetzen im US-Senat Der Senat in Washington zeigt sich in der Waffendebatte wieder konsequent uneins. Jeweils zwei Vorstöße der beiden großen Parteien werden vom anderen Lager blockiert. Ein Grund für den Patt: Es ist Wahljahr in den USA.  mehr…,a,3,,
11273,Siegener Zeitung :: brennpunkte :: Hunderttausende marschieren gegen Waffengewalt in den USA,a,7,,
15356,Vereinigte Staaten :  Tausende US-Schüler demonstrieren gegen Waffengewalt,a,7,,
6325,Waffen und Verantwortung: Erneut Schießerei in den USA - Friedemann Groth über das unterschiedliche Staatsverständnis von US-Amerikanern und Deutschen in Bezug auf das Waffenrecht,a,8,1,
16959,Zahlreiche Großdemos für schärfere Waffengesetze in den USA,a,7,2,
6916,Video über Waffengewalt: Ist das Amerika?,a,8,,
7782,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Freie Presse,a,7,,
20669,Reaktionen auf Florida-Amoklauf: Hollywoods scharfer Angriff auf Trumps rechte Konsorten und die Waffenlobby - News Deutschland,a,3,,
